############################ MICRO SIMULATION INFORMATION ##################################
No		F11		F12		F21		F22		Energy
236;	0.850606641873;	-0.155917595420;	-0.143358745733;	0.931209834213;	Penetrable-detFmicro
237;	0.983219211077;	0.099518206333;	0.140655430909;	0.868053672710;	Penetrable-detFmicro
238;	0.896428108540;	0.184936977085;	-0.186561696127;	0.928167795645;	Penetrable-detFmicro
239;	0.810372133872;	-0.082139297955;	0.061167605129;	1.112868334882;	55.279882490136
240;	0.878400206956;	0.023451503480;	-0.049738860606;	0.836915131617;	Penetrable-detFmicro
241;	1.070442336017;	-0.011373176384;	-0.112445924208;	1.045670911922;	22.046286903687
242;	0.954020327490;	-0.134073287566;	-0.117609157824;	1.010204661021;	24.760528922859
243;	1.060933686939;	-0.044693386387;	-0.025648636231;	1.066727811181;	22.149946528711
244;	1.060681718071;	0.109284027754;	0.093006031480;	0.911650510554;	24.528725871054
245;	0.970213209904;	0.164424164697;	0.027817778595;	1.185541000117;	54.654230298396
246;	0.917284500137;	0.141365880262;	0.013286362090;	0.939959950635;	Penetrable-detFmicro
247;	1.162996597038;	0.195718975556;	0.040201269186;	1.161510899424;	133.046529916469
248;	0.821724133620;	-0.143991079399;	0.123781974819;	0.959032576015;	Penetrable-detFmicro
249;	0.812703033591;	0.122749187119;	-0.063940535373;	1.152870365735;	56.870055700939
250;	1.193886229039;	0.158206361918;	-0.034731451977;	1.189244938893;	170.580901184213
251;	0.990133613281;	0.043611424378;	0.128854006803;	1.120074155122;	28.849658084182
252;	0.884436257691;	0.170639018751;	-0.060958080433;	1.172811403829;	41.120481062982
253;	0.982551000969;	-0.137455621384;	0.061998976964;	0.951384995654;	6.913962927236
254;	1.129684429371;	-0.166489030231;	0.129217719356;	0.804572510487;	53.690373105440
255;	1.021357061931;	-0.091404944691;	0.189524511493;	1.075023278778;	20.308315948665
256;	0.984884178830;	-0.066197653283;	0.199448629307;	0.817356687854;	Penetrable-detFmicro
257;	0.981025351507;	-0.198348241882;	0.155164260467;	0.801179395792;	Penetrable-detFmicro
258;	1.046757309551;	-0.088223035277;	0.177452927492;	1.007438467796;	9.506985259382
259;	0.944573208469;	0.042175766521;	0.164287111776;	1.075025983676;	19.747286537169
260;	1.180265466653;	-0.031989396958;	0.196700386064;	0.854086715496;	53.809520484477
261;	0.861014588196;	0.002921314025;	-0.147904921750;	0.993072709323;	Penetrable-detFmicro
262;	0.909708471578;	0.018679643596;	0.032710957660;	1.069374714921;	12.786155610937
263;	0.810024146776;	-0.095855154126;	0.177805732581;	1.060958746424;	Penetrable-detFmicro
264;	1.060713538385;	0.078283061329;	-0.190664609257;	0.981903391821;	10.762150224211
265;	1.127173859115;	-0.067409694885;	0.049858587805;	0.804433824109;	59.627127944188
266;	0.873716002105;	-0.114501905201;	0.154959331328;	1.039231072942;	20.735173443581
267;	0.920918311966;	-0.075611785913;	-0.092303745212;	1.076751258803;	19.004554354824
268;	1.152524650272;	0.071950384289;	0.066171646272;	1.054312611411;	58.770670179492
269;	0.817194265749;	-0.106132410912;	0.130353656370;	0.827749304766;	Penetrable-detFmicro
270;	1.029981203998;	0.131742094611;	0.068955196009;	0.825309085233;	Penetrable-detFmicro
271;	1.050882501607;	-0.017169261851;	0.072708269583;	1.149387030192;	53.331905024350
272;	0.906025611747;	-0.167815287727;	0.144886577591;	0.917728075541;	35.222435087220
273;	1.190398371341;	-0.107893218370;	-0.071255394637;	0.934744028604;	48.820676382335
274;	1.054542881733;	-0.180463559668;	0.094564781601;	1.128875989117;	52.561885914636
275;	1.055399037110;	-0.013510945788;	0.058005063523;	0.912840148865;	11.258756332600
276;	0.800301708751;	-0.026863112176;	-0.082540519175;	1.137034395302;	67.506512105618
277;	1.158012286340;	-0.138709070622;	-0.026674385191;	0.898946486905;	36.842916149168
278;	1.192028209231;	-0.004590868633;	-0.199099909352;	0.989347936537;	65.305159511294
279;	0.914787979688;	0.118684432749;	0.113345846387;	1.001922853437;	34.536933737047
280;	1.046026411481;	-0.090490857453;	-0.170139283056;	0.979756828716;	22.873683263688
281;	1.072179713418;	-0.000070365610;	-0.164905813429;	0.829965069791;	Penetrable-detFmicro
282;	1.199765633043;	-0.054830157064;	-0.168450400638;	0.847619035539;	67.165449325833
283;	1.064693201182;	0.062632344803;	-0.092146572450;	0.970789139760;	5.969389519271
284;	1.143235175098;	-0.168395615069;	-0.053829734232;	0.971924959092;	39.171071847319
285;	1.125218983011;	0.100545670943;	0.199179015297;	1.041241749099;	57.718508492399
286;	0.965758155648;	-0.104238536693;	0.101971058081;	1.153437791656;	32.551435552746
287;	0.984095617392;	-0.117812420546;	-0.192293194370;	1.157320330545;	57.352143696903
288;	1.034059385727;	-0.003175226838;	0.094739611957;	0.977471686085;	4.104976695777
289;	0.932763121583;	-0.064408939835;	-0.068002793028;	0.801917333185;	Penetrable-detFmicro
290;	1.179690015369;	0.189576955628;	-0.123851732674;	0.863450615467;	43.506376248755
291;	0.817736171048;	-0.135377409966;	0.066545300669;	1.116602878057;	51.171424196854
